

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, -1, 1, -1, 1, -1], [1, 1, -1, -1, 1, 1, -1, -1], [1, -1, -1, 1, 1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 1, -1, 1], [1, 1, -1, -1, -1, -1, 1, 1], [1, -1, -1, 1, -1, 1, 1, -1]]        
------------------------------------------------------------------------------------


07/10/2021 12:57:51 ||| SENDER-6     ||  STARTS SENDING TO RECEIVER-6
07/10/2021 12:58:00 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:58:00 ||| RECEIVER-5   ||  BIT RECEIVED : 1
07/10/2021 12:58:00 ||| RECEIVER-7   ||  BIT RECEIVED : 1
07/10/2021 12:58:01 ||| SENDER-5     ||  DATA BIT SEND -1 1, 1, 1, 1]
07/10/2021 12:58:01 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:58:01 ||| SENDER-7     ||  DATA BIT SEND -1, 1, -1, -1]
07/10/2021 12:58:01 ||| SENDER-4     ||  DATA BIT SEND -1, -1, -1, 1]
07/10/2021 12:58:01 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:01 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:01 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:01 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:01 ||| RECEIVER-5   ||  BIT RECEIVED : 0
07/10/2021 12:58:01 ||| RECEIVER-6   ||  BIT RECEIVED : 0
07/10/2021 12:58:02 ||| CHANNEL...   ||  [1, -1, 1, -1, 1, -1, 1, -1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [1, 1, 1, 1, -1, -1, -1, -1]
07/10/2021 12:58:02 ||| SENDER-8     ||  DATA BIT SEND 1-1, 1, 1, -1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [1, 1, -1, -1, -1, -1, 1, 1]
07/10/2021 12:58:02 ||| SENDER-4     ||  DATA BIT SEND 1 1, 1, 1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [1, 1, -1, -1, 1, 1, -1, -1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
07/10/2021 12:58:02 ||| RECEIVER-8   ||  BIT RECEIVED : 1
07/10/2021 12:58:02 ||| SENDER-5     ||  DATA BIT SEND -11, 1, -1, 1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:02 ||| SENDER-8     ||  DATA BIT SEND -1, -1, -1, 1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:02 ||| SENDER-4     ||  DATA BIT SEND -11, 1, 1, -1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:02 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:02 ||| RECEIVER-7   ||  BIT RECEIVED : 0
07/10/2021 12:58:03 ||| SENDER-5     ||  DATA BIT SEND 1, -1, -1, -1]
07/10/2021 12:58:03 ||| CHANNEL...   ||  [1, -1, 1, -1, 1, -1, 1, -1]
07/10/2021 12:58:03 ||| SENDER-7     ||  DATA BIT SEND 1-1, -1, 1, 1]
07/10/2021 12:58:03 ||| CHANNEL...   ||  [1, -1, -1, 1, -1, 1, 1, -1]
07/10/2021 12:58:03 ||| SENDER-4     ||  DATA BIT SEND 11, 1, -1, -1]
07/10/2021 12:58:03 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:58:03 ||| CHANNEL...   ||  [1, 1, 1, 1, 1, 1, 1, 1]
07/10/2021 12:58:03 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
07/10/2021 12:58:03 ||| RECEIVER-7   ||  BIT RECEIVED : 1

07/10/2021 12:58:03 ||| DATA : [0, 1, 0, 1, 0, 1, 0, 1]

07/10/2021 12:58:03 ||| DATA : [0, 1, 0, 1, 0, 1, 0, 1]

07/10/2021 12:58:03 ||| CHAR RECEIVED : U


07/10/2021 12:58:03 ||| CHAR RECEIVED : U

07/10/2021 12:58:04 ||| SENDER-7     ||  DATA BIT SEND -11, 1, -1, 1]
07/10/2021 12:58:04 ||| SENDER-3     ||  DATA BIT SEND -1
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:04 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:04 ||| RECEIVER-3   ||  BIT RECEIVED : 0
07/10/2021 12:58:04 ||| RECEIVER-8   ||  BIT RECEIVED : 0
07/10/2021 12:58:05 ||| SENDER-4     ||  DATA BIT SEND 1-1, 1, -1, 1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, 1, -1, -1, 1, 1, -1, -1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, -1, -1, 1, -1, 1, 1, -1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, 1, 1, 1, 1, 1, 1, 1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, 1, -1, -1, -1, -1, 1, 1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, -1, 1, -1, 1, -1, 1, -1]
07/10/2021 12:58:05 ||| CHANNEL...   ||  [1, 1, 1, 1, -1, -1, -1, -1]
07/10/2021 12:58:05 ||| RECEIVER-7   ||  BIT RECEIVED : 1
07/10/2021 12:58:05 ||| RECEIVER-6   ||  BIT RECEIVED : 1
07/10/2021 12:58:06 ||| SENDER-7     ||  DATA BIT SEND -1, -1, -1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:06 ||| RECEIVER-6   ||  BIT RECEIVED : 0
07/10/2021 12:58:06 ||| RECEIVER-5   ||  BIT RECEIVED : 0
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:06 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:06 ||| RECEIVER-5   ||  BIT RECEIVED : 0
07/10/2021 12:58:06 ||| RECEIVER-8   ||  BIT RECEIVED : 0
07/10/2021 12:58:07 ||| SENDER-2     ||  DATA BIT SEND -11, -1, 1, 1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:07 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:58:07 ||| RECEIVER-4   ||  BIT RECEIVED : 0
07/10/2021 12:58:08 ||| SENDER-2     ||  DATA BIT SEND -11, 1, -1, 1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:08 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:08 ||| RECEIVER-6   ||  BIT RECEIVED : 0
07/10/2021 12:58:08 ||| RECEIVER-8   ||  BIT RECEIVED : 0
07/10/2021 12:58:09 ||| SENDER-2     ||  DATA BIT SEND 1 1, 1, 1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, 1, -1, -1, 1, 1, -1, -1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, -1, 1, -1, 1, -1, 1, -1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, -1, -1, 1, -1, 1, 1, -1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, 1, 1, 1, -1, -1, -1, -1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:58:09 ||| CHANNEL...   ||  [1, 1, -1, -1, -1, -1, 1, 1]
07/10/2021 12:58:09 ||| RECEIVER-4   ||  BIT RECEIVED : 1
07/10/2021 12:58:09 ||| RECEIVER-6   ||  BIT RECEIVED : 1
07/10/2021 12:58:10 ||| SENDER-6     ||  DATA BIT SEND -1, -1, -1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, 1, 1, -1, -1, 1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
